,INSTNM,CITY,STABBR,INSTURL,PREDDEG,HIGHDEG,CONTROL,ADM_RATE,DISTANCEONLY,COSTT4_A,COSTT4_P,TUITIONFEE_IN,TUITIONFEE_OUT,PFTFAC,ICLEVEL,ENDOWBEGIN,UGDS,NPT4_PUB,NPT4_PRIV
0,Alabama A & M University,Normal,AL,aamu.edu,3,4,1,0.716,0.0,21924.0,,10024.0,18634.0,0.6833,1,,5098.0,13057.0,
1,University of Alabama at Birmingham,Birmingham,AL,uab.edu,3,4,1,0.8854,0.0,26248.0,,8568.0,20400.0,0.7564,1,539858544.0,13284.0,16585.0,
2,Amridge University,Montgomery,AL,amridgeuniversity.edu,3,4,2,,1.0,,,,,0.7872,1,174818.0,251.0,,
3,University of Alabama in Huntsville,Huntsville,AL,uah.edu,3,4,1,0.7367,0.0,24869.0,,11488.0,23884.0,0.6538,1,75837207.0,7358.0,17250.0,
4,Alabama State University,Montgomery,AL,alasu.edu,3,4,1,0.9799,0.0,21938.0,,11068.0,19396.0,0.6812,1,111315175.0,3495.0,13593.0,
5,The University of Alabama,Tuscaloosa,AL,ua.edu,3,4,1,0.789,0.0,31050.0,,11620.0,31090.0,0.7753,1,939393269.0,30725.0,21534.0,
6,Central Alabama Community College,Alexander City,AL,cacc.edu,2,2,1,,0.0,13930.0,,4930.0,8620.0,0.3824,2,433325.0,940.0,8628.0,
7,Athens State University,Athens,AL,athens.edu,3,4,1,,0.0,,,,,0.4554,1,4496491.0,2511.0,,
8,Auburn University at Montgomery,Montgomery,AL,aum.edu,3,4,1,0.968,0.0,20621.0,,8860.0,18820.0,0.6901,1,52113787.0,3742.0,13689.0,
9,Auburn University,Auburn,AL,auburn.edu,3,4,1,0.7118,0.0,32678.0,,11826.0,31986.0,0.8436,1,784621493.0,24782.0,23258.0,
10,Birmingham-Southern College,Birmingham,AL,bsc.edu,3,3,2,0.6591,0.0,33920.0,,20100.0,20100.0,0.8295,1,49403369.0,1048.0,,21098.0
11,Chattahoochee Valley Community College,Phenix City,AL,cv.edu,1,2,1,,0.0,9320.0,,3936.0,7128.0,0.3053,2,49698.0,1107.0,3557.0,
12,South University-Montgomery,Montgomery,AL,southuniversity.edu,3,4,3,,0.0,23107.0,,17014.0,17014.0,0.1731,1,,337.0,,18772.0
13,Enterprise State Community College,Enterprise,AL,escc.edu,2,2,1,,0.0,9454.0,,4860.0,8550.0,0.4672,2,17187.0,1336.0,3214.0,
14,Coastal Alabama Community College,Bay Minette,AL,coastalalabama.edu,2,2,1,,0.0,12881.0,,4860.0,8850.0,0.3761,2,,5217.0,6043.0,
15,Faulkner University,Montgomery,AL,faulkner.edu,3,4,2,0.646,0.0,36457.0,,23490.0,23490.0,0.5511,1,17838794.0,1696.0,,20371.0
16,Gadsden State Community College,Gadsden,AL,gadsdenstate.edu,2,2,1,,0.0,10619.0,,3936.0,6888.0,0.4941,2,3610956.0,3513.0,4239.0,
17,New Beginning College of Cosmetology,Albertville,AL,nbccosmetology.com,1,1,3,,0.0,,16895.0,,,,3,,57.0,,13520.0
18,George C Wallace Community College-Dothan,Dothan,AL,wallace.edu,1,2,1,,0.0,8791.0,,4800.0,8790.0,0.6443,2,167860.0,3191.0,1520.0,
19,George C Wallace State Community College-Hanceville,Hanceville,AL,wallacestate.edu,1,2,1,,0.0,13196.0,,4860.0,8550.0,0.4066,2,,4303.0,8467.0,
20,George C Wallace State Community College-Selma,Selma,AL,wccs.edu,2,2,1,,0.0,9102.0,,4560.0,8250.0,0.5049,2,,942.0,1912.0,
21,Herzing University-Birmingham,Birmingham,AL,herzing.edu,1,4,2,0.9385,0.0,31202.0,,14200.0,14200.0,0.5161,1,,608.0,,26887.0
22,Huntingdon College,Montgomery,AL,huntingdon.edu,3,3,2,0.693,0.0,39177.0,,27900.0,27900.0,0.7975,1,51910937.0,838.0,,23330.0
23,Heritage Christian University,Florence,AL,hcu.edu,3,4,2,,0.0,16024.0,,11632.0,11632.0,1.0,1,12502663.0,71.0,,4856.0
24,J. F. Drake State Community and Technical College,Huntsville,AL,drakestate.edu,1,2,1,,0.0,11544.0,,4830.0,8520.0,0.5,2,,688.0,5609.0,
25,J F Ingram State Technical College,Deatsville,AL,istc.edu,1,1,1,,0.0,6084.0,,5472.0,5472.0,1.0,2,,400.0,4430.0,
26,Jacksonville State University,Jacksonville,AL,jsu.edu,3,4,1,0.7634,0.0,22023.0,,11120.0,20840.0,0.6823,1,13976189.0,6992.0,18336.0,
27,Jefferson State Community College,Birmingham,AL,jeffersonstate.edu,2,2,1,,0.0,14975.0,,4920.0,8610.0,0.3566,2,1388586.0,6143.0,9406.0,
28,John C Calhoun State Community College,Tanner,AL,calhoun.edu,1,2,1,,0.0,11507.0,,4940.0,8630.0,0.3652,2,7643394.0,6795.0,6604.0,
29,Lawson State Community College,Birmingham,AL,lawsonstate.edu,2,2,1,,0.0,13864.0,,4860.0,8550.0,0.4643,2,586222.0,2779.0,5820.0,
30,University of West Alabama,Livingston,AL,uwa.edu,3,4,1,0.7433,0.0,22525.0,,10990.0,20090.0,0.4596,1,428958.0,2310.0,16258.0,
31,Lurleen B Wallace Community College,Andalusia,AL,lbwcc.edu,2,2,1,,0.0,14826.0,,4620.0,8310.0,0.6942,2,,1129.0,7116.0,
32,Marion Military Institute,Marion,AL,marionmilitary.edu,2,2,1,0.4535,0.0,18568.0,,9218.0,15218.0,0.84,2,3592219.0,314.0,12029.0,
33,Miles College,Fairfield,AL,miles.edu,3,3,2,,0.0,22857.0,,12714.0,12714.0,0.6964,1,24402543.0,1517.0,,14880.0
34,University of Mobile,Mobile,AL,umobile.edu,3,4,2,0.6409,0.0,37823.0,,24855.0,24855.0,1.0,1,17265742.0,1112.0,,18986.0
35,University of Montevallo,Montevallo,AL,montevallo.edu,3,4,1,0.9009,0.0,26709.0,,13710.0,26730.0,0.6414,1,24840444.0,2184.0,17348.0,
36,Northwest-Shoals Community College,Muscle Shoals,AL,nwscc.edu,1,2,1,,0.0,9617.0,,4831.0,8521.0,0.4885,2,759027.0,2095.0,2595.0,
37,University of North Alabama,Florence,AL,una.edu,3,4,1,0.8997,0.0,21507.0,,10620.0,20220.0,0.659,1,39458675.0,5165.0,12631.0,
38,Northeast Alabama Community College,Rainsville,AL,nacc.edu,1,2,1,,0.0,9260.0,,4860.0,8850.0,0.3841,2,4181.0,1565.0,3232.0,
39,Oakwood University,Huntsville,AL,www2.oakwood.edu,3,4,2,0.7185,0.0,37238.0,,19990.0,19990.0,0.9492,1,20201402.0,1353.0,,22588.0
40,Reid State Technical College,Evergreen,AL,rstc.edu,1,2,1,,0.0,8598.0,,4890.0,8580.0,0.6154,2,,254.0,186.0,
41,Bishop State Community College,Mobile,AL,bishop.edu,2,2,1,,0.0,10415.0,,4860.0,8550.0,0.4354,2,151679.0,1885.0,3163.0,
42,Samford University,Birmingham,AL,samford.edu,3,4,2,0.8387,0.0,51314.0,,35360.0,35360.0,0.9898,1,332869066.0,3604.0,,30716.0
43,Shelton State Community College,Tuscaloosa,AL,sheltonstate.edu,2,2,1,,0.0,14409.0,,4587.0,8277.0,0.5,2,,4018.0,8017.0,
44,Snead State Community College,Boaz,AL,snead.edu,2,2,1,,0.0,13481.0,,5344.0,9280.0,0.3185,2,2605005.0,1537.0,7179.0,
45,University of South Alabama,Mobile,AL,southalabama.edu,3,4,1,0.7078,0.0,22139.0,,8756.0,17012.0,0.5766,1,470288000.0,8631.0,16223.0,
46,Spring Hill College,Mobile,AL,shc.edu,3,4,2,0.7152,0.0,56502.0,,21100.0,21100.0,0.7748,1,17236188.0,989.0,,20891.0
47,Stillman College,Tuscaloosa,AL,stillman.edu,3,3,2,0.758,0.0,24540.0,,11392.0,11392.0,0.5542,1,18932197.0,721.0,,17127.0
48,Talladega College,Talladega,AL,talladega.edu,3,4,2,,0.0,22696.0,,13886.0,13886.0,0.5181,1,2561968.0,1144.0,,13575.0
