,statistics.pagetitle,statistics.pageurl,statistics.time,statistics.allitemcount,statistics.totalelements,statistics.waveurl,categories.error.count,categories.contrast.count,categories.alert.count,categories.feature.count,categories.structure.count,categories.aria.count
0,Elon University - America’s Top-Ranked Teaching University,elon.edu,4.42,156,567,http://wave.webaim.org/report?url=www.elon.edu,2,2,17,35,36,64
1,Home | Union Bible College,ubca.org,4.92,292,947,http://wave.webaim.org/report?url=https://ubca.org/,4,60,41,7,52,128
2,"Generations College, 2-Year Private College In Chicago & Online",maccormac.edu,3.92,189,1048,http://wave.webaim.org/report?url=www.maccormac.edu/,12,28,46,11,65,27
3,"California State University, Sacramento | Sacramento State",csus.edu,3.22,163,431,http://wave.webaim.org/report?url=https://www.csus.edu/,0,0,3,11,37,112
4,Coastal Carolina Community College,coastalcarolina.edu,6.43,135,702,http://wave.webaim.org/report?url=www.coastalcarolina.edu/,0,1,14,6,46,68
5,Columbia-Greene Community College | Columbia-Greene Community College,sunycgcc.edu,4.25,112,681,http://wave.webaim.org/report?url=https://www.sunycgcc.edu/,8,6,7,15,33,43
6,Truckee Meadows Community College,tmcc.edu,4.73,789,2175,http://wave.webaim.org/report?url=www.tmcc.edu/,1,26,32,34,156,540
7,Home - MidAmerica Nazarene University,mnu.edu,8.23,362,2223,http://wave.webaim.org/report?url=www.mnu.edu/,9,32,70,36,71,144
8,Midwestern University - Educating Tomorrow's Healthcare Team,midwestern.edu,5.83,490,1743,http://wave.webaim.org/report?url=https://www.midwestern.edu/,17,6,32,39,142,254
9,"Fredericksburg, VA Campus | Strayer University",strayer.edu/campus-locations/virginia/fredericksburg,12.84,885,2360,http://wave.webaim.org/report?url=www.strayer.edu/campus-locations/virginia/fredericksburg,5,14,45,84,79,658
10,Patrick Henry College | Conservative Christian College,phc.edu,6.63,728,1615,http://wave.webaim.org/report?url=https://www.phc.edu/,8,9,68,30,56,557
11,West Campus - Orange Technical College - Train for an in-demand career.,orangetechcollege.net/campuses/Westside,5.93,1306,2591,http://wave.webaim.org/report?url=https://www.orangetechcollege.net/campuses/Westside,1,50,59,21,79,1096
12,Healthcare Training Institute | Medical Career Institute | Ocean Township,mcinj.edu,2.92,167,810,http://wave.webaim.org/report?url=www.mcinj.edu/,0,25,26,9,21,86
13,Northland College - The Environmental Liberal Arts College,northland.edu,5.73,163,732,http://wave.webaim.org/report?url=https://www.northland.edu/,3,31,19,23,80,7
14,College of the Desert Home Page,collegeofthedesert.edu,3.63,176,781,http://wave.webaim.org/report?url=www.collegeofthedesert.edu/,3,5,32,46,19,71
15,Coastline College,coastline.edu,2.92,385,1186,http://wave.webaim.org/report?url=www.coastline.edu/,3,19,10,16,54,283
16,Life University is a Leading Chiropractic and Holistic Health University,life.edu,7.23,593,3023,http://wave.webaim.org/report?url=www.life.edu/,24,40,56,10,286,177
17,Central Community College,cccneb.edu,4.33,441,1005,http://wave.webaim.org/report?url=https://www.cccneb.edu/,6,5,11,42,105,272
18,Home - PCCC,web.pccc.edu,3.73,289,575,http://wave.webaim.org/report?url=web.pccc.edu/,5,1,149,39,21,74
19,PCI College,pci-ed.com,6.57,279,941,http://wave.webaim.org/report?url=www.pci-ed.com/,12,11,18,66,71,101
20,Home - Network Barber College,networksbarbercollege.com,7.95,189,1043,http://wave.webaim.org/report?url=www.networksbarbercollege.com/,11,3,28,16,46,85
21,HOME | Haven University,haven.edu,4.73,240,898,http://wave.webaim.org/report?url=www.haven.edu/,0,88,20,5,34,93
22,Avalon School of Cosmetology,avaloncosmetologyschool.com,2.02,52,193,http://wave.webaim.org/report?url=www.avaloncosmetologyschool.com/,22,17,1,6,6,0
23,Minnesota State College Southeast,southeastmn.edu,4.94,288,836,http://wave.webaim.org/report?url=www.southeastmn.edu/,2,8,18,24,94,142
24,Young Americans – College of Performing Arts,yacollege.edu,3.92,78,626,http://wave.webaim.org/report?url=https://www.yacollege.edu/,2,21,10,9,24,12
25,"Career and Trade Schools in League City, TX | Remington College",remingtoncollege.edu/locations/houston/webster,3.12,216,1120,http://wave.webaim.org/report?url=https://www.remingtoncollege.edu/locations/houston/webster/,10,3,40,44,57,62
26,Fox Valley Technical College®,fvtc.edu,4.33,178,1155,http://wave.webaim.org/report?url=https://www.fvtc.edu/,0,38,15,17,50,58
27,University of Nebraska Omaha,unomaha.edu,3.82,212,881,http://wave.webaim.org/report?url=https://www.unomaha.edu/,7,2,15,26,80,82
28,"Career and Trade Schools in Mobile, AL | Remington College",remingtoncollege.edu/locations/mobile,3.22,224,1154,http://wave.webaim.org/report?url=https://www.remingtoncollege.edu/locations/mobile/,10,3,38,48,63,62
29,FVI School of Nursing | Healthcare Programs | Technology Programs,fvi.edu,4.22,471,1118,http://wave.webaim.org/report?url=www.fvi.edu/,3,40,78,45,57,248
30,Welcome to Johnston Community College,johnstoncc.edu,2.92,78,443,http://wave.webaim.org/report?url=www.johnstoncc.edu/,0,1,6,21,26,24
