status.success,status.httpstatuscode,statistics.pagetitle,statistics.pageurl,statistics.time,statistics.creditsremaining,statistics.allitemcount,statistics.totalelements,statistics.waveurl,categories.error.description,categories.error.count,categories.contrast.description,categories.contrast.count,categories.alert.description,categories.alert.count,categories.feature.description,categories.feature.count,categories.structure.description,categories.structure.count,categories.aria.description,categories.aria.count,status.error
TRUE,200,Elon University - America’s Top-Ranked Teaching University,elon.edu,4.42,1093,156,567,http://wave.webaim.org/report?url=www.elon.edu,Errors,2,Contrast Errors,2,Alerts,17,Features,35,Structural Elements,36,ARIA,64,
TRUE,200,Home | Union Bible College,ubca.org,4.92,1092,292,947,http://wave.webaim.org/report?url=https://ubca.org/,Errors,4,Contrast Errors,60,Alerts,41,Features,7,Structural Elements,52,ARIA,128,
TRUE,200,"Generations College, 2-Year Private College In Chicago & Online",maccormac.edu,3.92,1091,189,1048,http://wave.webaim.org/report?url=www.maccormac.edu/,Errors,12,Contrast Errors,28,Alerts,46,Features,11,Structural Elements,65,ARIA,27,
TRUE,200,"California State University, Sacramento | Sacramento State",csus.edu,3.22,1090,163,431,http://wave.webaim.org/report?url=https://www.csus.edu/,Errors,0,Contrast Errors,0,Alerts,3,Features,11,Structural Elements,37,ARIA,112,
TRUE,200,Coastal Carolina Community College,coastalcarolina.edu,6.43,1089,135,702,http://wave.webaim.org/report?url=www.coastalcarolina.edu/,Errors,0,Contrast Errors,1,Alerts,14,Features,6,Structural Elements,46,ARIA,68,
TRUE,200,Columbia-Greene Community College | Columbia-Greene Community College,sunycgcc.edu,4.25,1088,112,681,http://wave.webaim.org/report?url=https://www.sunycgcc.edu/,Errors,8,Contrast Errors,6,Alerts,7,Features,15,Structural Elements,33,ARIA,43,
TRUE,200,Truckee Meadows Community College,tmcc.edu,4.73,1087,789,2175,http://wave.webaim.org/report?url=www.tmcc.edu/,Errors,1,Contrast Errors,26,Alerts,32,Features,34,Structural Elements,156,ARIA,540,
TRUE,200,Home - MidAmerica Nazarene University,mnu.edu,8.23,1086,362,2223,http://wave.webaim.org/report?url=www.mnu.edu/,Errors,9,Contrast Errors,32,Alerts,70,Features,36,Structural Elements,71,ARIA,144,
TRUE,200,Midwestern University - Educating Tomorrow's Healthcare Team,midwestern.edu,5.83,1085,490,1743,http://wave.webaim.org/report?url=https://www.midwestern.edu/,Errors,17,Contrast Errors,6,Alerts,32,Features,39,Structural Elements,142,ARIA,254,
TRUE,200,"Fredericksburg, VA Campus | Strayer University",strayer.edu/campus-locations/virginia/fredericksburg,12.84,1084,885,2360,http://wave.webaim.org/report?url=www.strayer.edu/campus-locations/virginia/fredericksburg,Errors,5,Contrast Errors,14,Alerts,45,Features,84,Structural Elements,79,ARIA,658,
TRUE,200,Patrick Henry College | Conservative Christian College,phc.edu,6.63,1083,728,1615,http://wave.webaim.org/report?url=https://www.phc.edu/,Errors,8,Contrast Errors,9,Alerts,68,Features,30,Structural Elements,56,ARIA,557,
TRUE,200,West Campus - Orange Technical College - Train for an in-demand career.,orangetechcollege.net/campuses/Westside,5.93,1082,1306,2591,http://wave.webaim.org/report?url=https://www.orangetechcollege.net/campuses/Westside,Errors,1,Contrast Errors,50,Alerts,59,Features,21,Structural Elements,79,ARIA,1096,
TRUE,200,Healthcare Training Institute | Medical Career Institute | Ocean Township,mcinj.edu,2.92,1081,167,810,http://wave.webaim.org/report?url=www.mcinj.edu/,Errors,0,Contrast Errors,25,Alerts,26,Features,9,Structural Elements,21,ARIA,86,
TRUE,200,Northland College - The Environmental Liberal Arts College,northland.edu,5.73,1080,163,732,http://wave.webaim.org/report?url=https://www.northland.edu/,Errors,3,Contrast Errors,31,Alerts,19,Features,23,Structural Elements,80,ARIA,7,
TRUE,200,College of the Desert Home Page,collegeofthedesert.edu,3.63,1079,176,781,http://wave.webaim.org/report?url=www.collegeofthedesert.edu/,Errors,3,Contrast Errors,5,Alerts,32,Features,46,Structural Elements,19,ARIA,71,
TRUE,200,Coastline College,coastline.edu,2.92,1078,385,1186,http://wave.webaim.org/report?url=www.coastline.edu/,Errors,3,Contrast Errors,19,Alerts,10,Features,16,Structural Elements,54,ARIA,283,
TRUE,200,Life University is a Leading Chiropractic and Holistic Health University,life.edu,7.23,1077,593,3023,http://wave.webaim.org/report?url=www.life.edu/,Errors,24,Contrast Errors,40,Alerts,56,Features,10,Structural Elements,286,ARIA,177,
TRUE,200,Central Community College,cccneb.edu,4.33,1076,441,1005,http://wave.webaim.org/report?url=https://www.cccneb.edu/,Errors,6,Contrast Errors,5,Alerts,11,Features,42,Structural Elements,105,ARIA,272,
TRUE,200,Home - PCCC,web.pccc.edu,3.73,1075,289,575,http://wave.webaim.org/report?url=web.pccc.edu/,Errors,5,Contrast Errors,1,Alerts,149,Features,39,Structural Elements,21,ARIA,74,
TRUE,200,PCI College,pci-ed.com,6.57,1074,279,941,http://wave.webaim.org/report?url=www.pci-ed.com/,Errors,12,Contrast Errors,11,Alerts,18,Features,66,Structural Elements,71,ARIA,101,
TRUE,200,Home - Network Barber College,networksbarbercollege.com,7.95,1073,189,1043,http://wave.webaim.org/report?url=www.networksbarbercollege.com/,Errors,11,Contrast Errors,3,Alerts,28,Features,16,Structural Elements,46,ARIA,85,
TRUE,200,HOME | Haven University,haven.edu,4.73,1072,240,898,http://wave.webaim.org/report?url=www.haven.edu/,Errors,0,Contrast Errors,88,Alerts,20,Features,5,Structural Elements,34,ARIA,93,
TRUE,200,Avalon School of Cosmetology,avaloncosmetologyschool.com,2.02,1071,52,193,http://wave.webaim.org/report?url=www.avaloncosmetologyschool.com/,Errors,22,Contrast Errors,17,Alerts,1,Features,6,Structural Elements,6,ARIA,0,
TRUE,200,Minnesota State College Southeast,southeastmn.edu,4.94,1070,288,836,http://wave.webaim.org/report?url=www.southeastmn.edu/,Errors,2,Contrast Errors,8,Alerts,18,Features,24,Structural Elements,94,ARIA,142,
TRUE,200,Young Americans – College of Performing Arts,yacollege.edu,3.92,1069,78,626,http://wave.webaim.org/report?url=https://www.yacollege.edu/,Errors,2,Contrast Errors,21,Alerts,10,Features,9,Structural Elements,24,ARIA,12,
TRUE,200,"Career and Trade Schools in League City, TX | Remington College",remingtoncollege.edu/locations/houston/webster,3.12,1068,216,1120,http://wave.webaim.org/report?url=https://www.remingtoncollege.edu/locations/houston/webster/,Errors,10,Contrast Errors,3,Alerts,40,Features,44,Structural Elements,57,ARIA,62,
TRUE,200,Fox Valley Technical College®,fvtc.edu,4.33,1067,178,1155,http://wave.webaim.org/report?url=https://www.fvtc.edu/,Errors,0,Contrast Errors,38,Alerts,15,Features,17,Structural Elements,50,ARIA,58,
TRUE,200,University of Nebraska Omaha,unomaha.edu,3.82,1066,212,881,http://wave.webaim.org/report?url=https://www.unomaha.edu/,Errors,7,Contrast Errors,2,Alerts,15,Features,26,Structural Elements,80,ARIA,82,
TRUE,200,"Career and Trade Schools in Mobile, AL | Remington College",remingtoncollege.edu/locations/mobile,3.22,1065,224,1154,http://wave.webaim.org/report?url=https://www.remingtoncollege.edu/locations/mobile/,Errors,10,Contrast Errors,3,Alerts,38,Features,48,Structural Elements,63,ARIA,62,
TRUE,200,FVI School of Nursing | Healthcare Programs | Technology Programs,fvi.edu,4.22,1064,471,1118,http://wave.webaim.org/report?url=www.fvi.edu/,Errors,3,Contrast Errors,40,Alerts,78,Features,45,Structural Elements,57,ARIA,248,
