wave.pageurl,wave.time,wave.allitemcount,wave.totalelements,wave.error.count,wave.contrast.count,wave.alert.count,wave.feature.count,wave.structure.count,wave.aria.count,ipeds.schoolname,ipeds.city,ipeds.state,ipeds.degrees_awarded.predominant,ipeds.degrees_awarded.highest,ipeds.ownership,ipeds.admission_rate.overall,ipeds.online_only,ipeds.tuition.in_state,ipeds.tuition.out_of_state,ipeds.ft_faculty_rate,ipeds.institutional_characteristics.level,ipeds.endowment.begin,ipeds.size,calc.avg_net_price,calc.attendance_cost,calc.above_average_errors
uti.edu,5.02,1001,3355,25,26,95,59,108,688,Universal Technical Institute-West Texas,Austin,TX,Associate,,Private for-profit,,Not online only,,,,2-year,,,,,Better than Average
adler.edu,2.61,152,1302,23,18,21,18,56,16,Adler University,Chicago,IL,Graduate,Graduate,Private nonprofit,,Not online only,,,0.9238,4-year,106532,,,,Better than Average
uws.edu,3.92,167,765,5,3,20,18,78,43,University of Western States,Portland,OR,Bachelor's,Graduate,Private nonprofit,,Not online only,,,0.3083,4-year,3581835,,,,Better than Average
uwla.edu,3.82,369,940,0,1,65,26,69,208,University of West Los Angeles,Inglewood,CA,Bachelor's,Graduate,Private for-profit,,Not online only,,,0.1489,4-year,,1,,,Better than Average
psuca.edu,3.12,265,830,9,4,11,11,46,184,Pacific States University,Los Angeles,CA,Bachelor's,Graduate,Private nonprofit,,Not online only,7380,7380,,4-year,,2,,,Better than Average
thechicagoschool.edu/san-diego,6.43,260,1493,0,3,13,21,56,167,The Chicago School of Professional Psychology at San Diego,San Diego,CA,Graduate,Graduate,Private nonprofit,,Not online only,12712,12712,,4-year,1077001,2,,,Better than Average
sfbu.edu,2.92,189,782,4,8,47,26,61,43,San Francisco Bay University,Fremont,CA,Bachelor's,Graduate,Private nonprofit,0.45,Not online only,8720,8720,0.6,4-year,,6,,,Better than Average
maunaloahelicopters.edu,5.22,369,1155,4,11,10,6,29,309,Mauna Loa Helicopters,Kailua Kona,HI,Certificate,Certificate,Private for-profit,,Not online only,,,,Less-than-2-year,,6,,,Better than Average
sbbcollege.edu,3.63,127,472,26,8,4,12,30,47,Santa Barbara Business College-Bakersfield,Bakersfield,CA,Certificate,Bachelor's,Private for-profit,,Not online only,11658,11658,,4-year,,9,,,Better than Average
sbbcollege.edu,3.42,127,472,26,8,4,12,30,47,Santa Barbara Business College-Bakersfield,Bakersfield,CA,Certificate,Bachelor's,Private for-profit,,Not online only,11658,11658,,4-year,,9,,,Better than Average
mastersbarbercollege.edu,4.72,46,359,2,0,11,8,17,8,Master's Barber & Styling College,Old Hickory,TN,Certificate,Certificate,Private for-profit,,Not online only,,,,Less-than-2-year,,9,6608,12953,Better than Average
sjs.edu,5.86,243,765,17,12,11,10,51,142,Saint John's Seminary,Brighton,MA,Bachelor's,Graduate,Private nonprofit,,Not online only,,,1,4-year,33747937,13,,,Better than Average
ljic.edu,4.92,569,1611,44,23,22,30,50,400,La James International College-Ft Dodge,Fort Dodge,IA,Certificate,Certificate,Private for-profit,,Not online only,,,,2-year,,14,17123,22501,Worse than Average
htim.edu,2.93,26,168,1,4,13,0,8,0,Health-Tech Institute of Memphis,Memphis,TN,Certificate,Certificate,Private for-profit,,Not online only,,,,Less-than-2-year,,15,7628,20793,Better than Average
midfieldic.edu,4.12,232,814,11,12,29,29,75,76,Midfield Institute of Cosmetology,Midfield,AL,Certificate,Certificate,Private nonprofit,,Not online only,,,,Less-than-2-year,,16,12763,15540,Better than Average
schiller.edu,4.64,406,1940,11,6,63,85,116,125,Schiller International University,Tampa,FL,Bachelor's,Graduate,Private for-profit,,Not online only,14360,14360,,4-year,,17,,,Better than Average
sws.edu,12.45,95,491,8,11,29,9,30,8,Southwest School of Business and Technical Careers-San Antonio,San Antonio,TX,Certificate,Certificate,Private for-profit,,Not online only,,,,Less-than-2-year,,19,19816,26507,Better than Average
moretechinstitute.edu,6.03,193,1447,14,51,10,17,48,53,More Tech Institute,Hialeah,FL,Certificate,Certificate,Private for-profit,,Not online only,,,,Less-than-2-year,,20,27731,34226,Better than Average
