,wave.pagetitle,wave.pageurl,wave.time,wave.allitemcount,wave.totalelements,wave.waveurl,wave.error.count,wave.contrast.count,wave.alert.count,wave.feature.count,wave.structure.count,wave.aria.count,ipeds.schoolname,ipeds.city,ipeds.state,ipeds.degrees_awarded.predominant,ipeds.degrees_awarded.highest,ipeds.ownership,ipeds.admission_rate.overall,ipeds.online_only,ipeds.attendance.academic_year,ipeds.attendance.program_year,ipeds.tuition.in_state,ipeds.tuition.out_of_state,ipeds.ft_faculty_rate,ipeds.institutional_characteristics.level,ipeds.endowment.begin,ipeds.size,ipeds.avg_net_price.public,ipeds.avg_net_price.private
0,UAH - The University of Alabama in Huntsville,uah.edu,3.52,196,1356,http://wave.webaim.org/report?url=www.uah.edu/,12,11,22,30,60,61,University of Alabama in Huntsville,Huntsville,AL,3,4,1,0.7711,0.0,24861.0,,11338.0,23734.0,0.6702,1,77250279.0,7825.0,17208.0,
1,Home | Alabama State University,alasu.edu,17.46,2243,11440,http://wave.webaim.org/report?url=www.alasu.edu/,8,1069,295,805,51,15,Alabama State University,Montgomery,AL,3,4,1,0.9888,0.0,21892.0,,11068.0,19396.0,0.6797,1,94536751.0,3603.0,19534.0,
2,Auburn University,auburn.edu,3.33,125,651,http://wave.webaim.org/report?url=www.auburn.edu/,2,0,1,16,46,60,Auburn University,Auburn,AL,3,4,1,0.8507,0.0,32196.0,,11796.0,31956.0,0.8654,1,774534709.0,24368.0,24018.0,
3,"Enterprise State Community College | Your College, Your Future",escc.edu,5.12,243,1519,http://wave.webaim.org/report?url=www.escc.edu/,16,17,23,27,95,65,Enterprise State Community College,Enterprise,AL,2,2,1,,0.0,9561.0,,4960.0,8950.0,0.4779,2,1058057.0,1304.0,4142.0,
4,,nbccosmetology.com,3.33,90,300,http://wave.webaim.org/report?url=www.nbccosmetology.com/,6,3,35,10,20,16,New Beginning College of Cosmetology,Albertville,AL,1,1,3,,0.0,,16173.0,,,,3,,86.0,,12560.0
5,Herzing University: Online & On-Campus College Degrees,herzing.edu,3.22,328,1725,http://wave.webaim.org/report?url=https://www.herzing.edu/,20,9,30,43,39,187,Herzing University-Birmingham,Birmingham,AL,2,4,2,0.9153,0.0,30319.0,,14200.0,14200.0,0.5556,1,,612.0,,25741.0
6,Herzing University: Online & On-Campus College Degrees,herzing.edu,3.22,328,1725,http://wave.webaim.org/report?url=https://www.herzing.edu/,20,9,30,43,39,187,Herzing University-Atlanta,Atlanta,GA,3,4,2,0.9247,0.0,29587.0,,14200.0,14200.0,0.2558,1,,691.0,,24707.0
7,Herzing University: Online & On-Campus College Degrees,herzing.edu,3.22,328,1725,http://wave.webaim.org/report?url=https://www.herzing.edu/,20,9,30,43,39,187,Herzing University-Minneapolis,St. Louis Park,MN,3,4,2,0.9206,0.0,28018.0,,14200.0,14200.0,0.2727,1,,620.0,,23164.0
8,Herzing University: Online & On-Campus College Degrees,herzing.edu,3.22,328,1725,http://wave.webaim.org/report?url=https://www.herzing.edu/,20,9,30,43,39,187,Herzing University-Akron,Akron,OH,2,3,2,0.916,0.0,29020.0,,14200.0,14200.0,0.3333,1,,502.0,,22397.0
9,Herzing University: Online & On-Campus College Degrees,herzing.edu,3.22,328,1725,http://wave.webaim.org/report?url=https://www.herzing.edu/,20,9,30,43,39,187,Herzing University-Madison,Madison,WI,3,4,2,0.9191,0.0,29140.0,,14200.0,14200.0,0.11,1,,1642.0,,23684.0
10,Herzing University: Online & On-Campus College Degrees,herzing.edu,3.22,328,1725,http://wave.webaim.org/report?url=https://www.herzing.edu/,20,9,30,43,39,187,Herzing University-Orlando,Winter Park,FL,2,4,2,0.9231,0.0,30319.0,,14200.0,14200.0,0.5294,1,,692.0,,23913.0
11,Herzing University: Online & On-Campus College Degrees,herzing.edu,3.22,328,1725,http://wave.webaim.org/report?url=https://www.herzing.edu/,20,9,30,43,39,187,Herzing University-New Orleans,Metairie,LA,2,4,2,0.9211,0.0,30319.0,,14200.0,14200.0,0.75,1,,443.0,,23121.0
12,Herzing University: Online & On-Campus College Degrees,herzing.edu,3.22,328,1725,http://wave.webaim.org/report?url=https://www.herzing.edu/,20,9,30,43,39,187,Herzing University-Kenosha,Kenosha,WI,3,4,2,0.914,0.0,28529.0,,14200.0,14200.0,0.4848,1,,666.0,,19922.0
13,Herzing University: Online & On-Campus College Degrees,herzing.edu,3.22,328,1725,http://wave.webaim.org/report?url=https://www.herzing.edu/,20,9,30,43,39,187,Herzing University-Brookfield,Brookfield,WI,1,4,2,0.9333,0.0,29268.0,,14200.0,14200.0,0.4667,1,,493.0,,25093.0
14,JSU - The Friendliest Campus in the South,jsu.edu,2.42,241,575,http://wave.webaim.org/report?url=www.jsu.edu/,0,0,14,53,44,130,Jacksonville State University,Jacksonville,AL,3,4,1,0.6369,0.0,21560.0,,11120.0,20840.0,0.7803,1,13645484.0,6776.0,17523.0,
15,Judson College — Light and Truth,judson.edu,7.33,50,331,http://wave.webaim.org/report?url=www.judson.edu/,2,7,13,5,13,10,Judson College,Marion,AL,3,3,2,0.5648,0.0,32380.0,,18640.0,18640.0,0.4,1,15479806.0,219.0,,16976.0
16,your story - Snead State Community College,snead.edu,4.22,121,479,http://wave.webaim.org/report?url=www.snead.edu/,0,29,16,8,20,48,Snead State Community College,Boaz,AL,2,2,1,,0.0,11531.0,,5344.0,9600.0,0.2714,2,2626385.0,1489.0,5746.0,
17,Stillman College | Spring 2021-2022 Application is now Open | Apply Now!,stillman.edu,16.08,411,1674,http://wave.webaim.org/report?url=https://stillman.edu/,9,37,46,57,73,189,Stillman College,Tuscaloosa,AL,3,3,2,0.5553,0.0,27665.0,,11322.0,11322.0,0.7288,1,19060678.0,699.0,,19846.0
18,United States Sports Academy – America's Sports University,ussa.edu,6.53,246,1604,http://wave.webaim.org/report?url=www.ussa.edu/,3,3,19,38,87,96,United States Sports Academy,Daphne,AL,3,4,2,,0.0,,,,,0.4545,1,1000000.0,130.0,,
19,Welcome to the University of Alaska Southeast,uas.alaska.edu,7.53,286,1318,http://wave.webaim.org/report?url=www.uas.alaska.edu/,0,1,30,17,55,183,University of Alaska Southeast,Juneau,AK,1,4,1,0.6352,0.0,16310.0,,6960.0,21096.0,0.5583,1,6836105.0,1063.0,10292.0,
20,Health Care Degrees & Certificates at Carrington College,carrington.edu,4.02,195,763,http://wave.webaim.org/report?url=https://carrington.edu/,0,29,24,27,60,55,Carrington College-Phoenix North,Phoenix,AZ,1,2,3,,0.0,,26708.0,,,0.5366,2,,986.0,,22500.0
21,Health Care Degrees & Certificates at Carrington College,carrington.edu,4.02,195,763,http://wave.webaim.org/report?url=https://carrington.edu/,0,29,24,27,60,55,Carrington College-Mesa,Mesa,AZ,1,2,3,,0.0,,40676.0,,,0.3,2,,590.0,,37809.0
22,Health Care Degrees & Certificates at Carrington College,carrington.edu,4.02,195,763,http://wave.webaim.org/report?url=https://carrington.edu/,0,29,24,27,60,55,Carrington College-Tucson,Tucson,AZ,1,2,3,,0.0,,31337.0,,,0.3077,2,,346.0,,26891.0
23,Health Care Degrees & Certificates at Carrington College,carrington.edu,4.02,195,763,http://wave.webaim.org/report?url=https://carrington.edu/,0,29,24,27,60,55,Carrington College-Sacramento,Sacramento,CA,1,2,3,,0.0,,36384.0,,,0.52,2,,1668.0,,33577.0
24,Health Care Degrees & Certificates at Carrington College,carrington.edu,4.02,195,763,http://wave.webaim.org/report?url=https://carrington.edu/,0,29,24,27,60,55,Carrington College-Boise,Boise,ID,1,2,3,,0.0,,,,,0.5385,2,,534.0,,
25,Health Care Degrees & Certificates at Carrington College,carrington.edu,4.02,195,763,http://wave.webaim.org/report?url=https://carrington.edu/,0,29,24,27,60,55,Carrington College-Portland,Portland,OR,1,1,3,,0.0,,29760.0,,,,3,,330.0,,25689.0
26,Health Care Degrees & Certificates at Carrington College,carrington.edu,4.02,195,763,http://wave.webaim.org/report?url=https://carrington.edu/,0,29,24,27,60,55,Carrington College-San Leandro Campus,San Leandro,CA,1,2,3,,0.0,,31373.0,,,0.5,2,,259.0,,27754.0
27,Health Care Degrees & Certificates at Carrington College,carrington.edu,4.02,195,763,http://wave.webaim.org/report?url=https://carrington.edu/,0,29,24,27,60,55,Carrington College-San Jose,San Jose,CA,1,2,3,,0.0,,30458.0,,,0.4583,2,,578.0,,27060.0
28,Health Care Degrees & Certificates at Carrington College,carrington.edu,4.02,195,763,http://wave.webaim.org/report?url=https://carrington.edu/,0,29,24,27,60,55,Carrington College-Pleasant Hill Campus,Pleasant Hill,CA,2,2,3,,0.0,,37913.0,,,0.7692,2,,325.0,,32055.0
29,Health Care Degrees & Certificates at Carrington College,carrington.edu,4.02,195,763,http://wave.webaim.org/report?url=https://carrington.edu/,0,29,24,27,60,55,Carrington College-Spokane,Spokane,WA,1,2,3,,0.0,,32815.0,,,0.6667,2,,360.0,,27931.0
30,Health Care Degrees & Certificates at Carrington College,carrington.edu,4.02,195,763,http://wave.webaim.org/report?url=https://carrington.edu/,0,29,24,27,60,55,Carrington College-Albuquerque,Albuquerque,NM,1,2,3,,0.0,,41049.0,,,0.3889,2,,440.0,,37247.0
31,Health Care Degrees & Certificates at Carrington College,carrington.edu,4.02,195,763,http://wave.webaim.org/report?url=https://carrington.edu/,0,29,24,27,60,55,Carrington College-Stockton,Stockton,CA,1,2,3,,0.0,,29879.0,,,0.7778,2,,332.0,,26047.0
32,Health Care Degrees & Certificates at Carrington College,carrington.edu,4.02,195,763,http://wave.webaim.org/report?url=https://carrington.edu/,0,29,24,27,60,55,Carrington College-Citrus Heights,Citrus Heights,CA,1,2,3,,0.0,,32885.0,,,0.7,2,,212.0,,29375.0
33,Health Care Degrees & Certificates at Carrington College,carrington.edu,4.02,195,763,http://wave.webaim.org/report?url=https://carrington.edu/,0,29,24,27,60,55,Carrington College-Las Vegas,Las Vegas,NV,1,2,3,,0.0,,30713.0,,,0.8571,2,,374.0,,26758.0
34,Health Care Degrees & Certificates at Carrington College,carrington.edu,4.02,195,763,http://wave.webaim.org/report?url=https://carrington.edu/,0,29,24,27,60,55,Carrington College-Reno,Reno,NV,2,2,3,,0.0,,42067.0,,,0.3889,2,,526.0,,39932.0
35,Health Care Degrees & Certificates at Carrington College,carrington.edu,4.02,195,763,http://wave.webaim.org/report?url=https://carrington.edu/,0,29,24,27,60,55,Carrington College-Ontario,Ontario,CA,2,2,3,,0.0,,28732.0,,,,2,,174.0,,24988.0
36,Health Care Degrees & Certificates at Carrington College,carrington.edu,4.02,195,763,http://wave.webaim.org/report?url=https://carrington.edu/,0,29,24,27,60,55,Carrington College-Mesquite,Mesquite,TX,2,2,3,,0.0,,,,,,2,,35.0,,
37,Prescott | Embry-Riddle Aeronautical University,prescott.erau.edu,3.62,242,896,http://wave.webaim.org/report?url=prescott.erau.edu/,0,5,72,17,76,72,Embry-Riddle Aeronautical University-Prescott,Prescott,AZ,3,4,2,0.6685,0.0,54536.0,,37864.0,37864.0,0.722,1,48760000.0,2959.0,,35432.0
38,Grand Canyon University | Private Christian University – Phoenix AZ,gcu.edu,4.33,824,1369,http://wave.webaim.org/report?url=www.gcu.edu/,6,1,40,54,48,675,Grand Canyon University,Phoenix,AZ,3,4,3,0.8069,0.0,31376.0,,17800.0,17800.0,0.0822,1,,62424.0,,20585.0
39,Universal Technical Institute | Trade & Technical School,uti.edu,5.02,1001,3355,http://wave.webaim.org/report?url=www.uti.edu/,25,26,95,59,108,688,Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,Phoenix,AZ,1,1,3,,0.0,,23064.0,,,,3,,789.0,,19127.0
40,Universal Technical Institute | Trade & Technical School,uti.edu,5.02,1001,3355,http://wave.webaim.org/report?url=www.uti.edu/,25,26,95,59,108,688,Universal Technical Institute of Arizona Inc,Avondale,AZ,2,2,3,,0.0,,28609.0,,,,2,,1845.0,,24166.0
41,Universal Technical Institute | Trade & Technical School,uti.edu,5.02,1001,3355,http://wave.webaim.org/report?url=www.uti.edu/,25,26,95,59,108,688,Universal Technical Institute of Texas Inc.,Houston,TX,1,1,3,,0.0,,23755.0,,,,2,,1602.0,,18559.0
42,Universal Technical Institute | Trade & Technical School,uti.edu,5.02,1001,3355,http://wave.webaim.org/report?url=www.uti.edu/,25,26,95,59,108,688,Universal Technical Institute of Illinois Inc,Lisle,IL,1,1,3,,0.0,,26674.0,,,,2,,1181.0,,22811.0
43,Universal Technical Institute | Trade & Technical School,uti.edu,5.02,1001,3355,http://wave.webaim.org/report?url=www.uti.edu/,25,26,95,59,108,688,Universal Technical Institute-Auto Motorcycle & Marine Mechanics Institute Division-Orlando,Orlando,FL,1,2,3,,0.0,,23190.0,,,,2,,2264.0,,18581.0
44,Universal Technical Institute | Trade & Technical School,uti.edu,5.02,1001,3355,http://wave.webaim.org/report?url=www.uti.edu/,25,26,95,59,108,688,Universal Technical Institute of California Inc,Rancho Cucamonga,CA,2,2,3,,0.0,,26008.0,,,,2,,1318.0,,20990.0
45,Universal Technical Institute | Trade & Technical School,uti.edu,5.02,1001,3355,http://wave.webaim.org/report?url=www.uti.edu/,25,26,95,59,108,688,NASCAR Technical Institute,Mooresville,NC,1,1,3,,0.0,,27615.0,,,,2,,1204.0,,23593.0
46,Universal Technical Institute | Trade & Technical School,uti.edu,5.02,1001,3355,http://wave.webaim.org/report?url=www.uti.edu/,25,26,95,59,108,688,Universal Technical Institute of Pennsylvania Inc,Exton,PA,1,1,3,,0.0,,25783.0,,,,2,,1018.0,,21745.0
47,Universal Technical Institute | Trade & Technical School,uti.edu,5.02,1001,3355,http://wave.webaim.org/report?url=www.uti.edu/,25,26,95,59,108,688,Universal Technical Institute of Northern California Inc,Sacramento,CA,2,2,3,,0.0,,28521.0,,,,2,,1350.0,,24187.0
48,Universal Technical Institute | Trade & Technical School,uti.edu,5.02,1001,3355,http://wave.webaim.org/report?url=www.uti.edu/,25,26,95,59,108,688,Universal Technical Institute-Dallas Fort Worth,Irving,TX,2,2,3,,0.0,,25932.0,,,,2,,1748.0,,21823.0
