,wave.time,wave.allitemcount,wave.totalelements,wave.error.count,wave.contrast.count,wave.alert.count,wave.feature.count,wave.structure.count,wave.aria.count,ipeds.schoolname,ipeds.city,ipeds.state,ipeds.degrees_awarded.predominant,ipeds.degrees_awarded.highest,ipeds.ownership,ipeds.admission_rate.overall,ipeds.online_only,ipeds.tuition.in_state,ipeds.tuition.out_of_state,ipeds.ft_faculty_rate,ipeds.institutional_characteristics.level,ipeds.endowment.begin,ipeds.size,calc.avg_net_price,calc.attendance_cost,calc.above_average_errors
0,3.52,196,1356,12,11,22,30,60,61,University of Alabama in Huntsville,Huntsville,AL,Predominantly bachelor's-degree granting,Graduate degree,Public,0.7711,Not online only,11338.0,23734.0,0.6702,4-year,77250279.0,7825.0,17208.0,24861.0,False
1,17.46,2243,11440,8,1069,295,805,51,15,Alabama State University,Montgomery,AL,Predominantly bachelor's-degree granting,Graduate degree,Public,0.9888,Not online only,11068.0,19396.0,0.6797,4-year,94536751.0,3603.0,19534.0,21892.0,False
2,3.33,125,651,2,0,1,16,46,60,Auburn University,Auburn,AL,Predominantly bachelor's-degree granting,Graduate degree,Public,0.8507,Not online only,11796.0,31956.0,0.8654,4-year,774534709.0,24368.0,24018.0,32196.0,False
3,5.12,243,1519,16,17,23,27,95,65,Enterprise State Community College,Enterprise,AL,Predominantly associate's-degree granting,Associate degree,Public,,Not online only,4960.0,8950.0,0.4779,2-year,1058057.0,1304.0,4142.0,9561.0,False
4,3.33,90,300,6,3,35,10,20,16,New Beginning College of Cosmetology,Albertville,AL,Predominantly certificate-degree granting,Certificate degree,Private for-profit,,Not online only,,,,Less-than-2-year,,86.0,12560.0,16173.0,False
5,3.22,328,1725,20,9,30,43,39,187,Herzing University-Birmingham,Birmingham,AL,Predominantly associate's-degree granting,Graduate degree,Private nonprofit,0.9153,Not online only,14200.0,14200.0,0.5556,4-year,,612.0,25741.0,30319.0,False
6,3.22,328,1725,20,9,30,43,39,187,Herzing University-Atlanta,Atlanta,GA,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,0.9247,Not online only,14200.0,14200.0,0.2558,4-year,,691.0,24707.0,29587.0,False
7,3.22,328,1725,20,9,30,43,39,187,Herzing University-Minneapolis,St. Louis Park,MN,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,0.9206,Not online only,14200.0,14200.0,0.2727,4-year,,620.0,23164.0,28018.0,False
8,3.22,328,1725,20,9,30,43,39,187,Herzing University-Akron,Akron,OH,Predominantly associate's-degree granting,Bachelor's degree,Private nonprofit,0.916,Not online only,14200.0,14200.0,0.3333,4-year,,502.0,22397.0,29020.0,False
9,3.22,328,1725,20,9,30,43,39,187,Herzing University-Madison,Madison,WI,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,0.9191,Not online only,14200.0,14200.0,0.11,4-year,,1642.0,23684.0,29140.0,False
